"구분(1)",구분(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"부산광역시",부산진구,29779250,100.00,1396796,4.69,1088294,3.65,8378,0.03,1915727,6.43,-,-,262337,0.88,-,-,-,-,620098,2.08,8253772,27.72,77378,0.26,3278,0.01,356137,1.20,158134,0.53,-,-,-,-,-,-,241121,0.81,934,0.00,15200,0.05,-,-,1310,0.00,3706812,12.45,5781570,19.41,2279403,7.65,7847,0.03,-,-,62481,0.21,2300265,7.72,2251,0.01,-,-,-,-,-,-,344,0.00,29535,0.10,-,-,190727,0.64,905641,3.04,30317,0.10,83163,0.28,-,-
"부산광역시",동래구,16676644,100.00,826596,4.96,928219,5.57,19928,0.12,1234846,7.40,-,-,227014,1.36,-,-,-,-,58720,0.35,6091723,36.53,402,0.00,54019,0.32,203585,1.22,124967,0.75,-,-,-,-,-,-,124750,0.75,715,0.00,1820,0.01,-,-,3284,0.02,463462,2.78,2842024,17.04,901698,5.41,21606,0.13,-,-,47154,0.28,1503619,9.02,11363,0.07,-,-,-,-,-,-,10650,0.06,9504,0.06,-,-,155663,0.93,698660,4.19,110104,0.66,550,0.00,-,-
"부산광역시",남구,27267656,100.00,986038,3.62,916243,3.36,321043,1.18,1320721,4.84,-,-,271661,1.00,-,-,1985567,7.28,48400,0.18,7886047,28.92,2417,0.01,9158,0.03,405494,1.49,144921,0.53,-,-,-,-,-,-,270096,0.99,4126,0.02,5361,0.02,-,-,-,-,2006437,7.36,4595758,16.85,1037326,3.80,23194,0.09,-,-,163059,0.60,2632505,9.65,3600,0.01,-,-,-,-,1127,0.00,3037,0.01,269163,0.99,-,-,189672,0.70,917221,3.36,52213,0.19,7435,0.03,788615,2.89
"부산광역시",북구,39759106,100.00,465926,1.17,838756,2.11,10048,0.03,963068,2.42,-,-,250102,0.63,-,-,-,-,199907,0.50,6546456,16.47,742,0.00,130630,0.33,263097,0.66,109205,0.27,-,-,-,-,-,-,766100,1.93,12696,0.03,981,0.00,-,-,2036,0.01,7641310,19.22,9141969,22.99,4998323,12.57,69032,0.17,-,-,28366,0.07,3242887,8.16,141996,0.36,-,-,-,-,-,-,57084,0.14,402746,1.01,-,-,251738,0.63,740466,1.86,2467903,6.21,15534,0.04,-,-
"부산광역시",해운대구,52324659,100.00,692060,1.32,1140094,2.18,148298,0.28,1864625,3.56,-,-,345333,0.66,-,-,101768,0.19,189354,0.36,10124355,19.35,-,-,7336,0.01,320727,0.61,279286,0.53,-,-,10742,0.02,-,-,963952,1.84,29012,0.06,16626,0.03,739,0.00,-,-,3672171,7.02,18186965,34.76,6183421,11.82,152734,0.29,-,-,46667,0.09,4541200,8.68,56440,0.11,106400,0.20,-,-,182019,0.35,28052,0.05,701291,1.34,-,-,229916,0.44,1447781,2.77,497892,0.95,14070,0.03,43330,0.08
"부산광역시",사하구,47491570,100.00,1063604,2.24,1060700,2.23,2189678,4.61,1616987,3.40,-,-,251931,0.53,-,-,705780,1.49,50807,0.11,10259035,21.60,669,0.00,138971,0.29,283373,0.60,532669,1.12,-,-,11400,0.02,-,-,493103,1.04,2345,0.00,896,0.00,1582,0.00,-,-,4452361,9.38,5527743,11.64,1544267,3.25,687870,1.45,-,-,114088,0.24,4862660,10.24,1006197,2.12,4283593,9.02,-,-,763715,1.61,23406,0.05,343875,0.72,-,-,164519,0.35,1411055,2.97,2985268,6.29,60245,0.13,597175,1.26
"부산광역시",금정구,65724543,100.00,1076407,1.64,886831,1.35,311086,0.47,1628448,2.48,-,-,275380,0.42,-,-,-,-,186254,0.28,8761994,13.33,796,0.00,17596,0.03,348891,0.53,245674,0.37,-,-,1694,0.00,-,-,2541429,3.87,250750,0.38,102936,0.16,932,0.00,36349,0.06,11982313,18.23,18975726,28.87,8454016,12.86,35351,0.05,700313,1.07,259180,0.39,4216618,6.42,224967,0.34,-,-,-,-,-,-,82932,0.13,321334,0.49,32282,0.05,189437,0.29,1149676,1.75,453825,0.69,1973129,3.00,-,-
"부산광역시",강서구,185867909,100.00,986768,0.53,549782,0.30,8019042,4.31,3553466,1.91,-,-,388147,0.21,-,-,3019005,1.62,482712,0.26,29414518,15.83,7507,0.00,58382,0.03,225741,0.12,943548,0.51,25419,0.01,20890192,11.24,16661,0.01,12406285,6.67,8505957,4.58,174707,0.09,9811,0.01,56506,0.03,13620356,7.33,16811140,9.04,6366104,3.43,1513706,0.81,155105,0.08,218004,0.12,16634463,8.95,3217087,1.73,748069,0.40,-,-,779091,0.42,17795,0.01,818898,0.44,203852,0.11,298320,0.16,19603964,10.55,13744908,7.39,665501,0.36,717387,0.39
"부산광역시",연제구,12149191,100.00,652107,5.37,685687,5.64,22288,0.18,1048327,8.63,-,-,180650,1.49,-,-,-,-,35229,0.29,4818207,39.66,-,-,2557,0.02,144401,1.19,87198,0.72,-,-,-,-,-,-,53828,0.44,854,0.01,-,-,-,-,-,-,1265981,10.42,1056030,8.69,369730,3.04,7301,0.06,-,-,74381,0.61,1219889,10.04,455,0.00,-,-,-,-,-,-,146,0.00,-,-,-,-,110040,0.91,292187,2.40,20892,0.17,827,0.01,-,-
"부산광역시",수영구,10347574,100.00,673926,6.51,747369,7.22,18373,0.18,918105,8.87,-,-,81450,0.79,-,-,22329,0.22,-,-,3828677,37.00,-,-,1711,0.02,92219,0.89,135888,1.31,-,-,-,-,-,-,32144,0.31,2191,0.02,-,-,-,-,-,-,837984,8.10,1042232,10.07,376063,3.63,1194,0.01,-,-,6711,0.06,976267,9.43,-,-,66675,0.64,-,-,58537,0.57,-,-,4481,0.04,-,-,66048,0.64,299822,2.90,50979,0.49,-,-,6198,0.06
"부산광역시",사상구,36241272,100.00,656521,1.81,579538,1.60,2237349,6.17,1850388,5.11,-,-,190373,0.53,-,-,-,-,155188,0.43,8981306,24.78,2463,0.01,33118,0.09,238126,0.66,103837,0.29,-,-,6392,0.02,-,-,782598,2.16,3167,0.01,13501,0.04,180,0.00,12717,0.04,3699095,10.21,5644656,15.58,2247671,6.20,95549,0.26,10760,0.03,4812,0.01,3429271,9.46,801464,2.21,-,-,-,-,-,-,7790,0.02,33806,0.09,-,-,156231,0.43,943463,2.60,3245519,8.96,74426,0.21,-,-
"부산광역시",기장군,219904134,100.00,960699,0.44,748515,0.34,1813561,0.82,2479400,1.13,-,-,608457,0.28,-,-,186017,0.08,356615,0.16,20529149,9.34,4322,0.00,12278,0.01,229883,0.10,521306,0.24,178064,0.08,3497180,1.59,161267,0.07,13409977,6.10,843807,0.38,1450940,0.66,23822,0.01,152305,0.07,53703665,24.42,54898701,24.96,21910936,9.96,310722,0.14,2294811,1.04,1164923,0.53,25434850,11.57,919688,0.42,-,-,-,-,112419,0.05,52852,0.02,535872,0.24,9301,0.00,88290,0.04,8695523,3.95,701889,0.32,807569,0.37,94561,0.04
"대구광역시",소계,1494256012,100.00,11646744,0.78,9830252,0.66,14797009,0.99,21521419,1.44,16251,0.00,3256823,0.22,-,-,384,0.00,1756498,0.12,139733413,9.35,62687,0.00,579386,0.04,2967020,0.20,4471969,0.30,24936437,1.67,26357464,1.76,12856005,0.86,64703553,4.33,11256247,0.75,23267132,1.56,1074059,0.07,204138,0.01,346107173,23.16,420249956,28.12,136469186,9.13,2188441,0.15,1705034,0.11,14058637,0.94,111628370,7.47,15816542,1.06,-,-,-,-,-,-,2826128,0.19,2232424,0.15,388558,0.03,1937159,0.13,30699774,2.05,23663537,1.58,8990204,0.60,-,-
"대구광역시",중구,7048643,100.00,378166,5.37,354872,5.03,6433,0.09,1342912,19.05,-,-,77067,1.09,-,-,-,-,86173,1.22,3599160,51.06,-,-,762,0.01,108280,1.54,90535,1.28,-,-,-,-,-,-,5598,0.08,221,0.00,-,-,-,-,-,-,52512,0.74,-,-,-,-,1045,0.01,-,-,-,-,505561,7.17,23270,0.33,-,-,-,-,-,-,5464,0.08,-,-,-,-,36877,0.52,279287,3.96,93880,1.33,568,0.01,-,-
"대구광역시",동구,181754495,100.00,1854972,1.02,1677426,0.92,473480,0.26,3019325,1.66,-,-,353506,0.19,-,-,-,-,387305,0.21,19741030,10.86,11762,0.01,10605,0.01,364215,0.20,537416,0.30,-,-,2674208,1.47,-,-,10505212,5.78,1011703,0.56,4391710,2.42,51014,0.03,70387,0.04,39191413,21.56,52530475,28.90,19422093,10.69,153275,0.08,371281,0.20,1682431,0.93,11926658,6.56,2069908,1.14,-,-,-,-,-,-,194129,0.11,432984,0.24,-,-,235089,0.13,3477096,1.91,1918311,1.06,1014077,0.56,-,-
"대구광역시",서구,17422333,100.00,1215057,6.97,591815,3.40,1433438,8.23,1763806,10.12,-,-,123082,0.71,-,-,-,-,174209,1.00,7739313,44.42,10068,0.06,147446,0.85,174425,1.00,122074,0.70,-,-,-,-,-,-,115901,0.67,1179,0.01,-,-,85,0.00,6679,0.04,1018953,5.85,395614,2.27,224577,1.29,19829,0.11,6681,0.04,23218,0.13,1224825,7.03,56751,0.33,-,-,-,-,-,-,9711,0.06,296,0.00,-,-,110840,0.64,445403,2.56,255351,1.47,11707,0.07,-,-
"대구광역시",남구,17818021,100.00,1170569,6.57,725728,4.07,2287,0.01,1053918,5.91,-,-,136650,0.77,-,-,-,-,17529,0.10,5111986,28.69,-,-,2079,0.01,215078,1.21,145438,0.82,-,-,-,-,-,-,62460,0.35,365,0.00,-,-,295,0.00,-,-,3157392,17.72,3187054,17.89,1381879,7.76,716,0.00,-,-,6680,0.04,715037,4.01,20659,0.12,-,-,-,-,-,-,20602,0.12,68937,0.39,-,-,69604,0.39,477146,2.68,67702,0.38,230,0.00,-,-
"대구광역시",북구,93774123,100.00,1177330,1.26,1677517,1.79,1887206,2.01,3508553,3.74,16251,0.02,617144,0.66,-,-,-,-,174066,0.19,19437821,20.73,19137,0.02,146099,0.16,584915,0.62,370540,0.40,-,-,878265,0.94,-,-,2682069,2.86,577729,0.62,132568,0.14,41448,0.04,6390,0.01,14322521,15.27,23570753,25.14,5031241,5.37,107005,0.11,76165,0.08,960020,1.02,8515839,9.08,862713,0.92,-,-,-,-,-,-,100374,0.11,34757,0.04,-,-,363929,0.39,3028985,3.23,2566616,2.74,298157,0.32,-,-
"대구광역시",수성구,76870992,100.00,1461564,1.90,1702047,2.21,31823,0.04,2439928,3.17,-,-,544332,0.71,-,-,-,-,551647,0.72,15123110,19.67,8060,0.01,8041,0.01,396891,0.52,309829,0.40,-,-,254780,0.33,-,-,3405011,4.43,293572,0.38,1495007,1.94,13778,0.02,7918,0.01,18157116,23.62,11853743,15.42,7529502,9.79,33035,0.04,37094,0.05,725885,0.94,5872337,7.64,904773,1.18,-,-,-,-,-,-,106698,0.14,29304,0.04,-,-,267299,0.35,2194730,2.86,645289,0.84,466849,0.61,-,-
"대구광역시",달서구,62582998,100.00,1093673,1.75,2034131,3.25,4514386,7.21,3339055,5.34,-,-,662814,1.06,-,-,-,-,43184,0.07,20359110,32.53,1812,0.00,184713,0.30,684811,1.09,274171,0.44,-,-,80543,0.13,-,-,833752,1.33,39559,0.06,72833,0.12,1845,0.00,5937,0.01,8263810,13.20,8676894,13.86,2404579,3.84,73168,0.12,37999,0.06,287018,0.46,5502313,8.79,205610,0.33,-,-,-,-,-,-,25599,0.04,98301,0.16,-,-,427289,0.68,1391179,2.22,775855,1.24,187054,0.30,-,-
"대구광역시",달성군,423249030,100.00,1625431,0.38,1027626,0.24,6044544,1.43,3596922,0.85,-,-,579917,0.14,-,-,384,0.00,130927,0.03,32380483,7.65,8437,0.00,69509,0.02,383811,0.09,965954,0.23,6034339,1.43,17196913,4.06,1212594,0.29,21827353,5.16,7372495,1.74,1844874,0.44,258945,0.06,84368,0.02,90608267,21.41,111073164,26.24,42375474,10.01,601927,0.14,122523,0.03,5309262,1.25,37036525,8.75,4457155,1.05,-,-,-,-,-,-,1185902,0.28,1290472,0.30,5691,0.00,341223,0.08,10561749,2.50,12828724,3.03,2805146,0.66,-,-
"대구광역시",군위군,613735377,100.00,1669983,0.27,39090,0.01,403410,0.07,1457000,0.24,-,-,162311,0.03,-,-,-,-,191459,0.03,16241400,2.65,3412,0.00,10132,0.00,54593,0.01,1656011,0.27,18902098,3.08,5272754,0.86,11643411,1.90,25266196,4.12,1959425,0.32,15330142,2.50,706649,0.12,22460,0.00,171335189,27.92,208962260,34.05,58099840,9.47,1198442,0.20,1053290,0.17,5064122,0.83,40329273,6.57,7215703,1.18,-,-,-,-,-,-,1177649,0.19,277373,0.05,382867,0.06,85010,0.01,8844199,1.44,4511810,0.74,4206416,0.69,-,-
"인천광역시",소계,1110271432,100.00,13136807,1.18,11836341,1.07,14822210,1.34,22204586,2.00,2199,0.00,3902397,0.35,1148708,0.10,3909869,0.35,1438406,0.13,173641750,15.64,40948,0.00,394115,0.04,2983662,0.27,12206125,1.10,103303376,9.30,33557114,3.02,5885151,0.53,62599401,5.64,6012985,0.54,2112320,0.19,1134785,0.10,548328,0.05,179948806,16.21,83828610,7.55,86464959,7.79,2157623,0.19,4864718,0.44,6268237,0.56,124085734,11.18,11804225,1.06,6370894,0.57,1561933,0.14,5320832,0.48,536234,0.05,6634607,0.60,675672,0.06,2378206,0.21,76362887,6.88,9278191,0.84,18837226,1.70,6070253,0.55
"인천광역시",중구,148517012,100.00,693905,0.47,702278,0.47,970476,0.65,3588416,2.42,-,-,506494,0.34,1148708,0.77,2584893,1.74,517028,0.35,35195260,23.70,16635,0.01,20836,0.01,236532,0.16,2109714,1.42,-,-,1759848,1.18,-,-,5156815,3.47,149072,0.10,156658,0.11,9386,0.01,40429,0.03,11281261,7.60,9484213,6.39,5181566,3.49,127076,0.09,1788114,1.20,128951,0.09,34098011,22.96,2757367,1.86,3981532,2.68,743271,0.50,1146468,0.77,112620,0.08,404884,0.27,24050,0.02,144117,0.10,16817141,11.32,384030,0.26,3239903,2.18,1109052,0.75
"인천광역시",동구,7146560,100.00,310740,4.35,165195,2.31,1019759,14.27,608607,8.52,-,-,62720,0.88,-,-,193667,2.71,25123,0.35,3521038,49.27,-,-,4840,0.07,63609,0.89,100759,1.41,-,-,-,-,-,-,4129,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,0.00,-,-,-,-,641266,8.97,2644,0.04,20015,0.28,-,-,-,-,-,-,-,-,-,-,47943,0.67,169017,2.37,316,0.00,160883,2.25,24207,0.34
"인천광역시",미추홀구,24955119,100.00,1299401,5.21,1793943,7.19,636612,2.55,1830823,7.34,-,-,296361,1.19,-,-,-,-,105715,0.42,10791451,43.24,428,0.00,10333,0.04,375417,1.50,278757,1.12,-,-,-,-,-,-,89162,0.36,524,0.00,-,-,-,-,973,0.00,1288689,5.16,332853,1.33,87284,0.35,7376,0.03,339,0.00,14096,0.06,2431312,9.74,42420,0.17,-,-,-,-,-,-,-,-,7158,0.03,-,-,244427,0.98,2688864,10.77,292125,1.17,8277,0.03,-,-
"인천광역시",연수구,63191075,100.00,217684,0.34,1320293,2.09,320693,0.51,2274760,3.60,-,-,616461,0.98,-,-,215436,0.34,60709,0.10,20255755,32.05,1163,0.00,35807,0.06,555230,0.88,812948,1.29,-,-,-,-,-,-,587867,0.93,39696,0.06,1019,0.00,-,-,17298,0.03,2344579,3.71,652205,1.03,318307,0.50,22841,0.04,716144,1.13,67012,0.11,12748735,20.17,50797,0.08,58380,0.09,-,-,-,-,936,0.00,27649,0.04,-,-,371839,0.59,13852444,21.92,268519,0.42,1897556,3.00,2460313,3.89
"인천광역시",남동구,57605225,100.00,532738,0.92,1828484,3.17,4233598,7.35,2619136,4.55,-,-,457839,0.79,-,-,5437,0.01,173049,0.30,18347650,31.85,3982,0.01,29637,0.05,377599,0.66,483781,0.84,-,-,193422,0.34,-,-,4293638,7.45,667685,1.16,472349,0.82,7594,0.01,47783,0.08,6684976,11.60,2615633,4.54,1520960,2.64,60206,0.10,-,-,183257,0.32,7337683,12.74,1460800,2.54,1760,0.00,35759,0.06,-,-,8048,0.01,14394,0.02,-,-,254947,0.44,1487434,2.58,309081,0.54,844863,1.47,10023,0.02
"인천광역시",부평구,32114333,100.00,704038,2.19,1811403,5.64,798771,2.49,1966856,6.12,2199,0.01,305481,0.95,-,-,-,-,169458,0.53,10870714,33.85,1271,0.00,5866,0.02,385927,1.20,270930,0.84,-,-,396710,1.24,-,-,326089,1.02,11573,0.04,-,-,1792,0.01,7501,0.02,4592922,14.30,1696108,5.28,1128714,3.51,39248,0.12,8865,0.03,872682,2.72,3578812,11.14,80892,0.25,-,-,-,-,-,-,3212,0.01,498,0.00,-,-,335958,1.05,1621755,5.05,111300,0.35,6787,0.02,-,-
"인천광역시",계양구,45534295,100.00,323732,0.71,1208141,2.65,433240,0.95,1372914,3.02,-,-,250929,0.55,-,-,-,-,201283,0.44,9955858,21.86,1376,0.00,5440,0.01,258274,0.57,347494,0.76,-,-,3500838,7.69,-,-,4627502,10.16,1074005,2.36,77528,0.17,54096,0.12,16706,0.04,7290223,16.01,1960439,4.31,1256165,2.76,107635,0.24,-,-,194738,0.43,5421677,11.91,589366,1.29,-,-,-,-,-,-,8160,0.02,104,0.00,-,-,283177,0.62,3335466,7.33,1367486,3.00,10302,0.02,-,-
"인천광역시",서구,132651999,100.00,683343,0.52,2697779,2.03,5923611,4.47,4615142,3.48,-,-,850205,0.64,-,-,567973,0.43,186042,0.14,33201814,25.03,7596,0.01,253682,0.19,519264,0.39,3104976,2.34,1793728,1.35,1313431,0.99,610508,0.46,3820354,2.88,426037,0.32,102075,0.08,26337,0.02,38113,0.03,15024046,11.33,1748618,1.32,2586109,1.95,302309,0.23,1971133,1.49,1025784,0.77,21754609,16.40,1838208,1.39,176198,0.13,-,-,19945,0.02,96628,0.07,5376,0.00,216604,0.16,412828,0.31,20449063,15.42,2649064,2.00,1603614,1.21,29853,0.02
"인천광역시",강화군,413234284,100.00,6897613,1.67,235368,0.06,440782,0.11,2550407,0.62,-,-,334315,0.08,-,-,92621,0.02,-,-,24377703,5.90,381,0.00,18373,0.00,152107,0.04,1366818,0.33,94704210,22.92,21157199,5.12,4877869,1.18,34032568,8.24,3043928,0.74,1005098,0.24,1003124,0.24,301063,0.07,101208458,24.49,32210985,7.79,24149827,5.84,616503,0.15,360453,0.09,3258773,0.79,23533828,5.70,4169273,1.01,1497935,0.36,358776,0.09,317129,0.08,187072,0.05,307531,0.07,422426,0.10,193338,0.05,10682127,2.59,3587822,0.87,8254053,2.00,1326429,0.32
"인천광역시",옹진군,185321528,100.00,1473613,0.80,73457,0.04,44670,0.02,777526,0.42,-,-,221591,0.12,-,-,249841,0.13,-,-,7124506,3.84,8114,0.00,9299,0.01,59702,0.03,3329947,1.80,6805439,3.67,5235666,2.83,396775,0.21,9661278,5.21,600466,0.32,297594,0.16,32457,0.02,78463,0.04,30233651,16.31,33127557,17.88,50236026,27.11,874344,0.47,19669,0.01,522945,0.28,12539802,6.77,812457,0.44,635075,0.34,424126,0.23,3837289,2.07,119559,0.06,5867012,3.17,12592,0.01,89632,0.05,5259577,2.84,308449,0.17,2810987,1.52,1110375,0.60
