"구분(1)",구분(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"광주광역시",소계,498372133,100.00,6581176,1.32,5846658,1.17,7791225,1.56,12672573,2.54,-,-,1847942,0.37,-,-,609,0.00,979940,0.20,81300109,16.31,14076,0.00,273118,0.05,2071647,0.42,1760365,0.35,81918,0.02,58126510,11.66,3875,0.00,36809033,7.39,8226663,1.65,2987655,0.60,222803,0.04,806756,0.16,58606315,11.76,71655649,14.38,31229616,6.27,1089870,0.22,636199,0.13,6778335,1.36,64780193,13.00,5756380,1.16,-,-,-,-,-,-,100727,0.02,140376,0.03,197123,0.04,1596745,0.32,16291531,3.27,7656345,1.54,3452080,0.69,-,-
"광주광역시",동구,48737933,100.00,793870,1.63,452358,0.93,6715,0.01,1234945,2.53,-,-,142986,0.29,-,-,-,-,45024,0.09,5392122,11.06,939,0.00,13621,0.03,212753,0.44,176043,0.36,-,-,78636,0.16,-,-,1574215,3.23,22175,0.05,45384,0.09,3148,0.01,31962,0.07,19083845,39.16,9566391,19.63,4093736,8.40,104357,0.21,6158,0.01,392828,0.81,3998943,8.20,257283,0.53,-,-,-,-,-,-,24364,0.05,48860,0.10,-,-,103315,0.21,710188,1.46,51773,0.11,68997,0.14,-,-
"광주광역시",서구,47523036,100.00,945110,1.99,1199964,2.53,435723,0.92,2562453,5.39,-,-,382787,0.81,-,-,-,-,70191,0.15,13750287,28.93,1800,0.00,133163,0.28,237244,0.50,270775,0.57,-,-,3963483,8.34,-,-,3362877,7.08,486700,1.02,257914,0.54,3569,0.01,157898,0.33,1672193,3.52,2611969,5.50,1554895,3.27,154787,0.33,7234,0.02,313409,0.66,7626409,16.05,426831,0.90,-,-,-,-,-,-,8909,0.02,18293,0.04,-,-,220442,0.46,3141432,6.61,1262306,2.66,281993,0.59,-,-
"광주광역시",남구,60581655,100.00,1344667,2.22,772721,1.28,41057,0.07,1361596,2.25,-,-,256695,0.42,-,-,609,0.00,51239,0.08,9754405,16.10,1076,0.00,46259,0.08,307208,0.51,292239,0.48,22,0.00,9639058,15.91,67,0.00,4722052,7.79,3386615,5.59,304050,0.50,7044,0.01,77930,0.13,4349681,7.18,6329312,10.45,3211290,5.30,165441,0.27,99913,0.16,840094,1.39,8498925,14.03,500695,0.83,-,-,-,-,-,-,2015,0.00,4488,0.01,197123,0.33,204665,0.34,2372008,3.92,1157863,1.91,281532,0.46,-,-
"광주광역시",북구,119464123,100.00,1738700,1.46,1576888,1.32,1445681,1.21,3504088,2.93,-,-,554554,0.46,-,-,-,-,98865,0.08,20703103,17.33,3078,0.00,19447,0.02,777687,0.65,455659,0.38,26483,0.02,7944595,6.65,583,0.00,6052392,5.07,688133,0.58,483238,0.40,37308,0.03,214061,0.18,18980999,15.89,21070155,17.64,8461058,7.08,165755,0.14,6981,0.01,1884065,1.58,14816398,12.40,1188310,0.99,-,-,-,-,-,-,17729,0.01,34269,0.03,-,-,568178,0.48,3686223,3.09,1204525,1.01,1054939,0.88,-,-
"광주광역시",광산구,222065386,100.00,1758830,0.79,1844727,0.83,5862051,2.64,4009491,1.81,-,-,510920,0.23,-,-,-,-,714621,0.32,31700193,14.28,7182,0.00,60628,0.03,536755,0.24,565650,0.25,55413,0.02,36500738,16.44,3225,0.00,21097497,9.50,3643038,1.64,1897069,0.85,171733,0.08,324906,0.15,14519597,6.54,32077822,14.45,13908638,6.26,499529,0.22,515913,0.23,3347940,1.51,29839518,13.44,3383262,1.52,-,-,-,-,-,-,47710,0.02,34465,0.02,-,-,500146,0.23,6381682,2.87,3979878,1.79,1764619,0.79,-,-
"대전광역시",소계,539919350,100.00,5526639,1.02,6474075,1.20,3575314,0.66,11199736,2.07,371,0.00,2276555,0.42,-,-,388,0.00,1649197,0.31,76685602,14.20,11413,0.00,238180,0.04,2755994,0.51,2238377,0.41,599,0.00,9935295,1.84,-,-,30033180,5.56,3474735,0.64,3239805,0.60,182017,0.03,631970,0.12,126478465,23.43,88352497,16.36,48938503,9.06,669618,0.12,685404,0.13,10187679,1.89,54482882,10.09,7148202,1.32,-,-,-,-,-,-,938672,0.17,952898,0.18,52282,0.01,1266989,0.23,15097053,2.80,6020128,1.12,18518636,3.43,-,-
"대전광역시",동구,137203824,100.00,1475935,1.08,984497,0.72,151594,0.11,1932795,1.41,-,-,312838,0.23,-,-,176,0.00,421080,0.31,12059232,8.79,1958,0.00,10797,0.01,338780,0.25,314177,0.23,-,-,817690,0.60,-,-,7274772,5.30,616907,0.45,1007470,0.73,8866,0.01,176717,0.13,37411846,27.27,25884164,18.87,15088402,11.00,105504,0.08,6264,0.00,2447331,1.78,10721919,7.81,1518348,1.11,-,-,-,-,-,-,410384,0.30,269594,0.20,-,-,105238,0.08,1960154,1.43,220168,0.16,13148228,9.58,-,-
"대전광역시",중구,62095048,100.00,1316912,2.12,1005557,1.62,30520,0.05,1665424,2.68,-,-,376981,0.61,-,-,-,-,129146,0.21,9748900,15.70,1874,0.00,5985,0.01,266230,0.43,304634,0.49,-,-,442262,0.71,-,-,3610302,5.81,261372,0.42,140481,0.23,22574,0.04,75365,0.12,16109959,25.94,8634956,13.91,8266254,13.31,90048,0.15,-,-,962053,1.55,5575766,8.98,676966,1.09,-,-,-,-,-,-,45421,0.07,107666,0.17,52282,0.08,124378,0.20,1400276,2.26,604459,0.97,40043,0.06,-,-
"대전광역시",서구,95428555,100.00,1164797,1.22,2093574,2.19,66010,0.07,2405440,2.52,-,-,501667,0.53,-,-,-,-,199460,0.21,16479845,17.27,848,0.00,49329,0.05,541895,0.57,447605,0.47,599,0.00,2992425,3.14,-,-,4921706,5.16,480019,0.50,235787,0.25,76389,0.08,46107,0.05,18708603,19.60,14000525,14.67,10243727,10.73,163017,0.17,11046,0.01,2067779,2.17,9812297,10.28,1905966,2.00,-,-,-,-,-,-,60441,0.06,81867,0.09,-,-,338159,0.35,3420368,3.58,1626169,1.70,285090,0.30,-,-
"대전광역시",유성구,176057713,100.00,734338,0.42,1682624,0.96,942752,0.54,3007690,1.71,371,0.00,825983,0.47,-,-,-,-,102007,0.06,25257648,14.35,1638,0.00,96205,0.05,1383118,0.79,865084,0.49,-,-,5136017,2.92,-,-,10995970,6.25,1985447,1.13,1412571,0.80,69597,0.04,321991,0.18,40452163,22.98,31284354,17.77,13094944,7.44,214188,0.12,631426,0.36,3393523,1.93,20042072,11.38,2319320,1.32,-,-,-,-,-,-,191103,0.11,341186,0.19,-,-,492593,0.28,6154166,3.50,2090263,1.19,535358,0.30,-,-
"대전광역시",대덕구,69134211,100.00,834656,1.21,707823,1.02,2384439,3.45,2188386,3.17,-,-,259086,0.37,-,-,212,0.00,797504,1.15,13139977,19.01,5095,0.01,75865,0.11,225971,0.33,306877,0.44,-,-,546901,0.79,-,-,3230430,4.67,130990,0.19,443497,0.64,4590,0.01,11789,0.02,13795894,19.96,8548498,12.37,2245176,3.25,96861,0.14,36668,0.05,1316993,1.90,8330828,12.05,727603,1.05,-,-,-,-,-,-,231322,0.33,152585,0.22,-,-,206621,0.30,2162089,3.13,1479070,2.14,4509917,6.52,-,-
"울산광역시",소계,1064318752,100.00,6697079,0.63,4735162,0.44,18790701,1.77,10913748,1.03,-,-,2059173,0.19,7265,0.00,6845015,0.64,1195151,0.11,106166581,9.98,16505,0.00,201621,0.02,1440634,0.14,2904389,0.27,14079948,1.32,25806842,2.42,2763166,0.26,48499564,4.56,3299415,0.31,11316937,1.06,1162777,0.11,197675,0.02,295931017,27.80,243948683,22.92,75212092,7.07,972056,0.09,2341165,0.22,4010993,0.38,99392201,9.34,11155377,1.05,-,-,-,-,504112,0.05,1197610,0.11,1385931,0.13,893059,0.08,792762,0.07,38506090,3.62,6436486,0.60,10880602,1.02,1659166,0.16
"울산광역시",중구,36990843,100.00,1209182,3.27,899905,2.43,12625,0.03,1461153,3.95,-,-,290450,0.79,-,-,-,-,-,-,8336401,22.54,-,-,2446,0.01,224708,0.61,172334,0.47,-,-,351867,0.95,-,-,2867631,7.75,135167,0.37,340583,0.92,169,0.00,3846,0.01,2075550,5.61,8184062,22.12,1758521,4.75,49067,0.13,-,-,103331,0.28,4908920,13.27,586291,1.58,-,-,-,-,-,-,24253,0.07,2600,0.01,-,-,115514,0.31,1889614,5.11,917693,2.48,66961,0.18,-,-
"울산광역시",남구,74563525,100.00,834472,1.12,1320822,1.77,5747544,7.71,2734232,3.67,-,-,531591,0.71,-,-,1484712,1.99,329975,0.44,24236126,32.50,-,-,31342,0.04,409187,0.55,914428,1.23,-,-,86418,0.12,-,-,1186928,1.59,18331,0.02,202703,0.27,413,0.00,1656,0.00,6077007,8.15,5064225,6.79,1311322,1.76,99447,0.13,14046,0.02,248072,0.33,13051570,17.50,227087,0.30,-,-,-,-,-,-,7394,0.01,233,0.00,-,-,212275,0.28,5907284,7.92,929534,1.25,441513,0.59,901635,1.21
"울산광역시",동구,36702661,100.00,497836,1.36,733675,2.00,1263212,3.44,825411,2.25,-,-,242972,0.66,-,-,3909485,10.65,-,-,5624585,15.32,3319,0.01,3121,0.01,188723,0.51,354977,0.97,-,-,34831,0.09,-,-,1286359,3.50,19043,0.05,55998,0.15,171,0.00,-,-,5698768,15.53,9060995,24.69,2132332,5.81,582,0.00,-,-,32109,0.09,3275571,8.92,31137,0.08,-,-,-,-,134314,0.37,495,0.00,256165,0.70,-,-,71823,0.20,578788,1.58,378,0.00,157241,0.43,228245,0.62
"울산광역시",북구,158134648,100.00,836672,0.53,802457,0.51,4102863,2.59,1811677,1.15,-,-,337699,0.21,7265,0.00,44556,0.03,141291,0.09,16853214,10.66,2636,0.00,7466,0.00,254499,0.16,303482,0.19,1233108,0.78,3148303,1.99,577312,0.37,8541023,5.40,1454310,0.92,805533,0.51,69297,0.04,3261,0.00,47100720,29.79,34409254,21.76,9717645,6.15,120627,0.08,428074,0.27,622967,0.39,15236684,9.64,1855925,1.17,-,-,-,-,240940,0.15,319594,0.20,57790,0.04,-,-,142262,0.09,4994430,3.16,656119,0.41,424575,0.27,469115,0.30
"울산광역시",울주군,757927074,100.00,3318917,0.44,978302,0.13,7664457,1.01,4081275,0.54,-,-,656461,0.09,-,-,1406262,0.19,723885,0.10,51116256,6.74,10550,0.00,157245,0.02,363516,0.05,1159167,0.15,12846840,1.69,22185423,2.93,2185854,0.29,34617624,4.57,1672565,0.22,9912119,1.31,1092726,0.14,188912,0.02,234978972,31.00,187230146,24.70,60292272,7.95,702332,0.09,1899045,0.25,3004515,0.40,62919457,8.30,8454938,1.12,-,-,-,-,128858,0.02,845874,0.11,1069143,0.14,893059,0.12,250888,0.03,25135974,3.32,3932763,0.52,9790311,1.29,60171,0.01
"세종특별자치시",세종시,465215486,100.00,2537862,0.55,1574955,0.34,2301086,0.49,4186171,0.90,-,-,974516,0.21,283,0.00,-,-,1179264,0.25,41236043,8.86,2236,0.00,42397,0.01,728207,0.16,1107483,0.24,20548951,4.42,13688769,2.94,5126358,1.10,33253992,7.15,3064759,0.66,7424719,1.60,1487228,0.32,705709,0.15,112002193,24.08,55958995,12.03,24959281,5.37,828574,0.18,1212945,0.26,9180450,1.97,73544459,15.81,8509247,1.83,-,-,-,-,-,-,1558430,0.33,156342,0.03,469238,0.10,324532,0.07,26018497,5.59,7691878,1.65,1629437,0.35,-,-
"경기도",소계,10332412976,100.00,72678015,0.70,53277749,0.52,105894569,1.02,151105395,1.46,9757,0.00,23195983,0.22,-,-,2038208,0.02,10930732,0.11,1024498709,9.92,196968,0.00,3405690,0.03,14258210,0.14,29175456,0.28,520911446,5.04,336176925,3.25,126055879,1.22,612984587,5.93,101842289,0.99,60925499,0.59,25647479,0.25,10193266,0.10,3036802605,29.39,1211180876,11.72,567476988,5.49,62127118,0.60,54933983,0.53,108915540,1.05,1068968837,10.35,172514001,1.67,3013911,0.03,1573780,0.02,1522307,0.01,25094542,0.24,10660641,0.10,8481597,0.08,10832493,0.10,416472479,4.03,225417691,2.18,46678004,0.45,14342773,0.14
"경기도",수원시 장안구,33342492,100.00,664382,1.99,1028591,3.08,124686,0.37,1020568,3.06,-,-,315292,0.95,-,-,-,-,105063,0.32,7388052,22.16,2019,0.01,22150,0.07,328684,0.99,212141,0.64,-,-,190774,0.57,-,-,1268313,3.80,93580,0.28,50289,0.15,8796,0.03,29730,0.09,9254418,27.76,3778727,11.33,1671083,5.01,35306,0.11,-,-,253351,0.76,3558042,10.67,148391,0.45,-,-,-,-,-,-,31679,0.10,-,-,-,-,216396,0.65,931744,2.79,67502,0.20,542741,1.63,-,-
"경기도",수원시 권선구,47155716,100.00,701829,1.49,1480782,3.14,464351,0.98,2093867,4.44,-,-,273462,0.58,-,-,-,-,177748,0.38,13811879,29.29,310,0.00,14243,0.03,318708,0.68,214834,0.46,1119755,2.37,7453027,15.81,430542,0.91,3465402,7.35,602465,1.28,434094,0.92,12597,0.03,126999,0.27,828863,1.76,2006746,4.26,722071,1.53,130061,0.28,158669,0.34,172149,0.37,6468492,13.72,504140,1.07,-,-,-,-,-,-,59785,0.13,7652,0.02,-,-,242529,0.51,2123991,4.50,478177,1.01,55500,0.12,-,-
"경기도",수원시 팔달구,12867491,100.00,706882,5.49,730887,5.68,2356,0.02,1356468,10.54,-,-,243564,1.89,-,-,-,-,130973,1.02,5780549,44.92,-,-,1241,0.01,177088,1.38,153091,1.19,-,-,-,-,59,0.00,35275,0.27,443,0.00,-,-,23,0.00,235,0.00,313052,2.43,373352,2.90,110642,0.86,11738,0.09,-,-,2911,0.02,1900785,14.77,9747,0.08,-,-,-,-,-,-,6683,0.05,-,-,-,-,117788,0.92,448422,3.48,40659,0.32,212579,1.65,-,-
"경기도",수원시 영통구,27701661,100.00,202225,0.73,1131431,4.08,613569,2.21,1659267,5.99,-,-,338011,1.22,-,-,-,-,57245,0.21,10336339,37.31,6052,0.02,3234,0.01,422072,1.52,121832,0.44,9,0.00,17212,0.06,296,0.00,96839,0.35,4744,0.02,5638,0.02,30,0.00,-,-,2208059,7.97,1503559,5.43,1142139,4.12,51447,0.19,79678,0.29,107762,0.39,5734071,20.70,104734,0.38,-,-,-,-,-,-,74804,0.27,6283,0.02,-,-,235833,0.85,779358,2.81,111710,0.40,546182,1.97,-,-
"경기도",성남시 수정구,45272876,100.00,911145,2.01,655534,1.45,4823,0.01,1111671,2.46,-,-,206851,0.46,-,-,-,-,17399,0.04,7528521,16.63,5473,0.01,179101,0.40,256027,0.57,195697,0.43,-,-,8850,0.02,-,-,1658666,3.66,500553,1.11,122813,0.27,25727,0.06,68162,0.15,19886574,43.93,2165697,4.78,1823097,4.03,44371,0.10,2122,0.00,210011,0.46,4741238,10.47,181929,0.40,-,-,-,-,-,-,35372,0.08,33399,0.07,-,-,124189,0.27,2162351,4.78,280435,0.62,125077,0.28,-,-
"경기도",성남시 중원구,26411380,100.00,582719,2.21,619856,2.35,339076,1.28,955831,3.62,-,-,228275,0.86,-,-,-,-,61881,0.23,5551264,21.02,517,0.00,1018,0.00,166240,0.63,131977,0.50,-,-,9858,0.04,-,-,944499,3.58,161600,0.61,9023,0.03,1588,0.01,85615,0.32,10812550,40.94,669054,2.53,1685504,6.38,6961,0.03,-,-,221623,0.84,2469643,9.35,64296,0.24,-,-,-,-,-,-,6488,0.02,388,0.00,-,-,111963,0.42,471946,1.79,38955,0.15,1173,0.00,-,-
"경기도",성남시 분당구,69821471,100.00,492353,0.71,1691782,2.42,13351,0.02,2216215,3.17,-,-,336967,0.48,-,-,-,-,-,-,15395657,22.05,4888,0.01,10220,0.01,377673,0.54,410287,0.59,-,-,75912,0.11,-,-,1949662,2.79,133392,0.19,59255,0.08,2595,0.00,20117,0.03,25142644,36.01,5100358,7.30,2543704,3.64,74451,0.11,358630,0.51,921277,1.32,9626202,13.79,368639,0.53,-,-,-,-,-,-,61513,0.09,5837,0.01,-,-,422467,0.61,1201472,1.72,489706,0.70,314242,0.45,-,-
"경기도",의정부시,81821332,100.00,947853,1.16,1484596,1.81,139857,0.17,2144001,2.62,-,-,502856,0.61,-,-,-,-,329515,0.40,14383977,17.58,437,0.00,65448,0.08,377609,0.46,367368,0.45,272942,0.33,147040,0.18,32764,0.04,2593878,3.17,222756,0.27,310429,0.38,26826,0.03,37701,0.05,27911888,34.11,9099352,11.12,6887316,8.42,131630,0.16,-,-,846652,1.03,7367154,9.00,296894,0.36,-,-,-,-,-,-,202667,0.25,892406,1.09,-,-,229047,0.28,3083830,3.77,472361,0.58,12283,0.02,-,-
"경기도",안양시 만안구,36542226,100.00,479735,1.31,820744,2.25,289727,0.79,1028691,2.82,-,-,233045,0.64,-,-,-,-,219202,0.60,6016911,16.47,4336,0.01,47103,0.13,244547,0.67,206442,0.56,-,-,-,-,-,-,382491,1.05,34335,0.09,21337,0.06,279,0.00,28377,0.08,14109061,38.61,5319479,14.56,1968296,5.39,100077,0.27,-,-,29151,0.08,2556415,7.00,95732,0.26,-,-,-,-,-,-,105225,0.29,903964,2.47,-,-,154553,0.42,786542,2.15,352366,0.96,4061,0.01,-,-
"경기도",안양시 동안구,21976909,100.00,143039,0.65,932613,4.24,206855,0.94,1440448,6.55,-,-,279082,1.27,-,-,-,-,-,-,7143836,32.51,668,0.00,15797,0.07,228938,1.04,142469,0.65,-,-,-,-,-,-,259103,1.18,30310,0.14,-,-,-,-,12651,0.06,4971274,22.62,777883,3.54,1076094,4.90,42971,0.20,-,-,86509,0.39,2338825,10.64,45303,0.21,-,-,-,-,-,-,12702,0.06,635463,2.89,-,-,239033,1.09,800416,3.64,106271,0.48,8358,0.04,-,-
"경기도",부천시 원미구,20624058,100.00,681979,3.31,1335770,6.48,253357,1.23,2006615,9.73,-,-,310297,1.50,-,-,-,-,52392,0.25,8862712,42.97,2328,0.01,722,0.00,321575,1.56,196634,0.95,-,-,1232,0.01,-,-,407082,1.97,24867,0.12,62934,0.31,6013,0.03,73010,0.35,2224173,10.78,128198,0.62,141021,0.68,15437,0.07,-,-,22855,0.11,2652567,12.86,25800,0.13,-,-,-,-,-,-,-,-,455,0.00,-,-,308034,1.49,435573,2.11,24557,0.12,45868,0.22,-,-
"경기도",부천시 소사구,12889211,100.00,429648,3.33,886024,6.87,38177,0.30,755275,5.86,-,-,133399,1.03,-,-,-,-,126715,0.98,4432041,34.39,504,0.00,1012,0.01,181308,1.41,118141,0.92,-,-,12536,0.10,-,-,476228,3.69,27056,0.21,45292,0.35,249,0.00,15324,0.12,2048999,15.90,385153,2.99,176065,1.37,5830,0.05,-,-,31354,0.24,1898302,14.73,7644,0.06,-,-,-,-,-,-,436,0.00,-,-,-,-,139971,1.09,492824,3.82,11193,0.09,12510,0.10,-,-
"경기도",부천시 오정구,20077265,100.00,285105,1.42,964073,4.80,405661,2.02,1261657,6.28,-,-,114823,0.57,-,-,-,-,-,-,6108805,30.43,-,-,124395,0.62,84879,0.42,104485,0.52,-,-,2553981,12.72,-,-,1520982,7.58,195271,0.97,38420,0.19,26944,0.13,66310,0.33,1746693,8.70,313054,1.56,99365,0.49,27364,0.14,27222,0.14,53313,0.27,2262016,11.27,191316,0.95,-,-,-,-,-,-,2929,0.01,-,-,-,-,84897,0.42,1214255,6.05,185090,0.92,13962,0.07,-,-
"경기도",광명시,38549810,100.00,412777,1.07,839606,2.18,527799,1.37,1463703,3.80,-,-,315341,0.82,-,-,-,-,127497,0.33,8685287,22.53,723,0.00,21149,0.05,194340,0.50,202646,0.53,-,-,532567,1.38,-,-,3039297,7.88,1126171,2.92,79340,0.21,13967,0.04,59260,0.15,10474753,27.17,588939,1.53,588940,1.53,55761,0.14,-,-,279724,0.73,5031669,13.05,241387,0.63,-,-,-,-,-,-,32495,0.08,-,-,-,-,157572,0.41,3119360,8.09,261391,0.68,76349,0.20,-,-
