"대장관리번호","시설물 종류 코드","코드명","수량(개)","면적(㎡)","연장(m)","빗물 관리량(㎥/h)","저류 용량(㎥)","자치구코드","자치구명","준공일"
"1807","FGN999","기타","0","813","0","3","50","11200","성동구","2026-05-12 00:00:00.0"
"1794","FGN003","침투트렌치","210","0","1","9","","11560","영등포구","2025-05-02 00:00:00.0"
"1791","FGN999","기타","1","16","","1","","11230","동대문구","2024-11-11 00:00:00.0"
"1790","FGN06","저류조","1","","","1","14","11260","중랑구","2025-01-08 00:00:00.0"
"1789","FGN999","기타","90","0","0","2","0","11560","영등포구","2024-12-17 00:00:00.0"
"1788","FGN004","원형침투통","7","0","0","1","0","11290","성북구","2025-01-07 00:00:00.0"
"1787","FGN001","투수성포장","0","1095","420","19","","11350","노원구","2024-07-23 00:00:00.0"
"1786","FGN999","기타","100","52","100","3","0","11230","동대문구","2024-12-31 00:00:00.0"
"1785","FGN07","옥상녹화","0","439","","1","22","11740","강동구","2024-09-12 00:00:00.0"
"1784","FGN06","저류조","0","","","0","35","11740","강동구","2024-08-14 00:00:00.0"
"1782","FGN001","투수성포장","0","328","0","6","0","11260","중랑구","2024-06-13 00:00:00.0"
"1781","FGN07","옥상녹화","0","45","0","0","2","11260","중랑구","2024-02-10 00:00:00.0"
"1779","FGN999","기타","272","0","0","5","0","11380","은평구","2023-12-10 00:00:00.0"
"1778","FGN07","옥상녹화","50","0","0","3","0","11290","성북구","2023-12-18 00:00:00.0"
"1772","FGN001","투수성포장","15","609","0","0","0","11680","강남구","2024-01-16 00:00:00.0"
"1767","FGN999","기타","14","0","","1540","","11290","성북구","2023-10-18 00:00:00.0"
"1766","FGN001","투수성포장","1","1524","969","26","","11350","노원구","2023-12-31 00:00:00.0"
"1764","FGN005","정방형침투통","0","109","","7","","11200","성동구","2023-05-22 00:00:00.0"
"1763","FGN999","기타","0","462","","0","","11200","성동구","2023-07-10 00:00:00.0"
"1760","FGN999","기타","0","","450","0","","11200","성동구","2022-09-13 00:00:00.0"
"1759","FGN999","기타","0","194","","0","","11200","성동구","2023-06-12 00:00:00.0"
"1758","FGN06","저류조","0","332","0","1","1","11260","중랑구","2023-12-26 00:00:00.0"
"1755","FGN06","저류조","2","","","94","1657","11650","서초구","2023-08-30 00:00:00.0"
"1752","FGN001","투수성포장","0","566","","10","","11290","성북구","2022-12-31 00:00:00.0"
"1751","FGN001","투수성포장","0","1700","","29","","11350","노원구","2022-12-31 00:00:00.0"
"1750","FGN001","투수성포장","0","1948","","33","","11650","서초구","2022-12-26 00:00:00.0"
"1749","FGN001","투수성포장","0","233","0","4","0","11260","중랑구","2023-03-31 00:00:00.0"
"1737","FGN07","옥상녹화","0","0","0","1","9","11260","중랑구","2022-11-09 00:00:00.0"
"1730","FGN001","투수성포장","0","1500","500","0","0","11650","서초구","2021-12-15 00:00:00.0"
"1729","FGN001","투수성포장","0","820","236","0","","11650","서초구","2021-12-20 00:00:00.0"
"1725","FGN999","기타","1","260","173","23","23","11440","마포구","2021-11-08 00:00:00.0"
"1721","FGN001","투수성포장","507","499","162","9","","11260","중랑구","2021-10-27 00:00:00.0"
"1720","FGN001","투수성포장","3000","120","30","2","0","11260","중랑구","2021-09-30 00:00:00.0"
"1719","FGN001","투수성포장","5200","1035","207","18","","11260","중랑구","2021-08-30 00:00:00.0"
"1718","FGN001","투수성포장","28675","1147","459","20","","11260","중랑구","2021-09-01 00:00:00.0"
"1717","FGN001","투수성포장","0","2596","355","44","","11260","중랑구","2021-10-29 00:00:00.0"
"1714","FGN003","침투트렌치","95","0","","5","","11215","광진구","2019-11-20 00:00:00.0"
"1713","FGN003","침투트렌치","113","","113","5","","11230","동대문구","2021-04-21 00:00:00.0"
"1712","FGN001","투수성포장","70","70","","1","","11230","동대문구","2021-11-25 00:00:00.0"
"1711","FGN07","옥상녹화","61","61","","0","","11230","동대문구","2020-10-30 00:00:00.0"
"1710","FGN07","옥상녹화","4","86","","0","4","11230","동대문구","2020-08-13 00:00:00.0"
"1704","FGN07","옥상녹화","0","22","","0","","11500","강서구","2021-07-30 00:00:00.0"
"1701","FGN001","투수성포장","2","1418","","32","138","11350","노원구","2021-01-28 00:00:00.0"
"1700","FGN06","저류조","1","394","0","1","26","11110","종로구","2021-01-15 00:00:00.0"
"1695","FGN001","투수성포장","1","43","","1","","11200","성동구","2020-03-17 00:00:00.0"
"1694","FGN003","침투트렌치","1","0","9","0","0","11200","성동구","2020-01-20 00:00:00.0"
"1692","FGN005","정방형침투통","1","","","0","","11200","성동구","2019-07-26 00:00:00.0"
"1687","FGN07","옥상녹화","0","28","0","1","0","11650","서초구","2019-07-02 00:00:00.0"
"1686","FGN07","옥상녹화","0","0","","0","","11650","서초구","2019-06-17 00:00:00.0"
"1685","FGN999","기타","0","587","0","2","0","11650","서초구","2019-05-16 00:00:00.0"
"1683","FGN07","옥상녹화","0","56","0","0","3","11650","서초구","2019-04-05 00:00:00.0"
"1682","FGN001","투수성포장","1","209","","0","","11200","성동구","2019-05-20 00:00:00.0"
"1681","FGN005","정방형침투통","6","","","858","","11200","성동구","2019-09-30 00:00:00.0"
"1679","FGN005","정방형침투통","4","0","0","1","0","11650","서초구","2019-03-15 00:00:00.0"
"1678","FGN004","원형침투통","3","0","0","0","0","11650","서초구","2019-03-08 00:00:00.0"
"1677","FGN07","옥상녹화","0","316","0","1","16","11650","서초구","2019-04-30 00:00:00.0"
"1676","FGN004","원형침투통","1","0","0","0","0","11650","서초구","2019-02-20 00:00:00.0"
"1675","FGN005","정방형침투통","2","0","0","1","0","11650","서초구","2019-10-31 00:00:00.0"
"1674","FGN003","침투트렌치","8","","38","3","","11650","서초구","2019-08-10 00:00:00.0"
"1672","FGN07","옥상녹화","0","","","0","1","11650","서초구","2019-02-01 00:00:00.0"
"1671","FGN003","침투트렌치","0","","29","2","","11650","서초구","2019-02-01 00:00:00.0"
"1670","FGN001","투수성포장","0","440","0","7","0","11650","서초구","2018-12-31 00:00:00.0"
"1669","FGN005","정방형침투통","9","0","0","1","0","11650","서초구","2018-12-31 00:00:00.0"
"1668","FGN003","침투트렌치","75","0","75","1","","11260","중랑구","2019-12-18 00:00:00.0"
"1667","FGN07","옥상녹화","0","0","","2","40","11140","중구","2019-02-15 00:00:00.0"
"1666","FGN001","투수성포장","2","100","10","1","2","11140","중구",""
"1664","FGN06","저류조","0","0","0","1","18","11380","은평구","2018-12-31 00:00:00.0"
"1663","FGN004","원형침투통","100","0","0","10","0","11710","송파구","2018-08-23 00:00:00.0"
"1662","FGN06","저류조","12","0","0","0","3","11470","양천구","2018-11-16 00:00:00.0"
"1661","FGN005","정방형침투통","98","0","0","17","0","11140","중구","2018-12-31 00:00:00.0"
"1660","FGN005","정방형침투통","120","0","0","13","0","11140","중구","2018-10-31 00:00:00.0"
"1659","FGN004","원형침투통","249","0","0","9","0","11560","영등포구","2018-12-10 00:00:00.0"
"1658","FGN005","정방형침투통","5","0","0","3","0","11710","송파구","2018-09-30 00:00:00.0"
"1657","FGN999","기타","0","0","800","46","0","11440","마포구","2018-11-05 00:00:00.0"
"1656","FGN003","침투트렌치","0","0","135","8","0","11290","성북구","2018-12-05 00:00:00.0"
"1655","FGN999","기타","0","","918","52","0","11530","구로구","2018-11-07 00:00:00.0"
"1654","FGN001","투수성포장","0","2050","0","35","0","11680","강남구","2018-06-11 00:00:00.0"
"1653","FGN005","정방형침투통","10","0","0","4","0","11230","동대문구","2018-12-02 00:00:00.0"
"1652","FGN001","투수성포장","0","1640","0","28","0","11200","성동구","2018-12-31 00:00:00.0"
"1651","FGN001","투수성포장","0","1050","0","18","0","11650","서초구","2018-11-15 00:00:00.0"
"1650","FGN001","투수성포장","0","5100","0","87","0","11710","송파구","2018-08-24 00:00:00.0"
"1649","FGN002","침투측구","0","0","144","12","0","11290","성북구","2018-12-05 00:00:00.0"
"1648","FGN001","투수성포장","0","1640","0","28","0","11320","도봉구","2018-06-18 00:00:00.0"
"1647","FGN002","침투측구","0","0","109","5","0","11380","은평구","2018-12-31 00:00:00.0"
"1646","FGN06","저류조","0","","","2","37","11590","동작구",""
"1644","FGN001","투수성포장","0","0","0","0","0","11320","도봉구","2013-12-31 00:00:00.0"
"1643","FGN06","저류조","0","0","0","6","100","11650","서초구","2014-12-31 00:00:00.0"
"1642","FGN06","저류조","0","0","0","17","300","11650","서초구","2014-12-31 00:00:00.0"
"1641","FGN06","저류조","0","0","0","6","100","11650","서초구","2014-12-31 00:00:00.0"
"1640","FGN999","기타","1","0","0","3","45","11140","중구","2013-12-31 00:00:00.0"
"1639","FGN06","저류조","1","0","0","353","6250","11380","은평구","2015-04-09 00:00:00.0"
"1638","FGN06","저류조","1","0","0","685","12119","11290","성북구","2015-01-20 00:00:00.0"
"1637","FGN06","저류조","0","0","0","412","7300","11110","종로구","2015-04-09 00:00:00.0"
"1636","FGN06","저류조","1","0","0","2","39","11440","마포구","2013-12-31 00:00:00.0"
"1635","FGN06","저류조","1","0","0","2","40","11200","성동구","2013-12-31 00:00:00.0"
"1634","FGN001","투수성포장","0","659","0","11","0","11200","성동구","2013-12-31 00:00:00.0"
"1633","FGN06","저류조","2","0","0","0","0","11140","중구","2013-12-31 00:00:00.0"
"1632","FGN06","저류조","1","0","0","0","7","11620","관악구","2013-12-31 00:00:00.0"
"1631","FGN06","저류조","1","0","0","8","150","11380","은평구","2013-12-31 00:00:00.0"
"1630","FGN06","저류조","1","0","0","0","2","11545","금천구","2013-12-31 00:00:00.0"
"1629","FGN06","저류조","1","0","0","0","2","11545","금천구","2013-12-31 00:00:00.0"
"1628","FGN06","저류조","1","0","","0","2","11545","금천구","2013-12-31 00:00:00.0"
"1627","FGN06","저류조","1","0","","0","1","11545","금천구","2013-12-31 00:00:00.0"
"1626","FGN06","저류조","1","0","","0","2","11545","금천구","2013-12-31 00:00:00.0"
"1625","FGN06","저류조","1","","","0","3","11350","노원구","2013-12-31 00:00:00.0"
"1624","FGN06","저류조","1","","","5","90","11320","도봉구","2013-12-31 00:00:00.0"
"1623","FGN06","저류조","2","","","17","300","11380","은평구","2017-12-31 00:00:00.0"
"1622","FGN003","침투트렌치","0","0","167","10","","11545","금천구","2018-12-31 00:00:00.0"
"1621","FGN001","투수성포장","1","14","","0","0","11305","강북구","2018-12-31 00:00:00.0"
"1620","FGN002","침투측구","0","","268","15","","11230","동대문구","2018-12-31 00:00:00.0"
"1619","FGN001","투수성포장","0","1978","","34","","11200","성동구","2018-12-31 00:00:00.0"
"1618","FGN002","침투측구","0","0","49","3","","11470","양천구","2017-12-31 00:00:00.0"
"1617","FGN002","침투측구","0","0","60","3","","11230","동대문구","2017-12-31 00:00:00.0"
"1616","FGN002","침투측구","0","0","21","1","","11545","금천구","2017-12-31 00:00:00.0"
"1615","FGN002","침투측구","1","","70","4","70","11290","성북구","2016-12-31 00:00:00.0"
"1614","FGN002","침투측구","0","","218","12","","11380","은평구","2016-12-31 00:00:00.0"
"1613","FGN002","침투측구","0","","60","3","","11305","강북구","2016-12-31 00:00:00.0"
"1612","FGN001","투수성포장","0","800","","14","","11500","강서구","2015-12-31 00:00:00.0"
"1611","FGN003","침투트렌치","0","500","","29","0","11560","영등포구","2015-09-30 00:00:00.0"
"1610","FGN001","투수성포장","0","1500","","26","","11650","서초구","2015-10-31 00:00:00.0"
"1609","FGN001","투수성포장","0","480","","8","","11500","강서구","2015-12-29 00:00:00.0"
"1608","FGN06","저류조","7","","","1","22","11380","은평구","2015-12-10 00:00:00.0"
"1607","FGN06","저류조","1","","","0","14","11710","송파구","2015-10-16 00:00:00.0"
"1606","FGN06","저류조","1","","","0","2","11215","광진구","2015-10-29 00:00:00.0"
"1605","FGN001","투수성포장","0","3000","1500","51","","11200","성동구","2015-12-24 00:00:00.0"
"1604","FGN06","저류조","2","","","0","2","11620","관악구","2017-09-17 00:00:00.0"
"1603","FGN06","저류조","1","","","1","10","11320","도봉구","2016-11-07 00:00:00.0"
"1602","FGN06","저류조","1","","","1","10","11320","도봉구","2016-07-12 00:00:00.0"
"1601","FGN06","저류조","4","0","0","1","12","11650","서초구","2016-12-31 00:00:00.0"
"1600","FGN06","저류조","1","","","0","2","11620","관악구","2016-12-31 00:00:00.0"
"1599","FGN06","저류조","14","0","0","0","5","11290","성북구","2016-11-11 00:00:00.0"
"1598","FGN999","기타","0","","355","20","","11200","성동구","2016-12-31 00:00:00.0"
"1597","FGN001","투수성포장","0","1260","","21","","11710","송파구","2016-12-29 00:00:00.0"
"1596","FGN06","저류조","1","","","3","50","11440","마포구","2016-12-02 00:00:00.0"
"1595","FGN001","투수성포장","0","683","","12","","11470","양천구","2016-11-26 00:00:00.0"
"1594","FGN001","투수성포장","0","300","","5","","11560","영등포구","2016-11-10 00:00:00.0"
"1593","FGN001","투수성포장","0","1150","","20","","11500","강서구","2016-12-31 00:00:00.0"
"1592","FGN003","침투트렌치","0","","64","4","","11500","강서구","2016-12-31 00:00:00.0"
"1591","FGN001","투수성포장","0","","235","13","","11305","강북구","2016-12-31 00:00:00.0"
"1590","FGN002","침투측구","0","0","120","7","","11380","은평구","2016-12-31 00:00:00.0"
"1589","FGN001","투수성포장","0","416","","7","","11470","양천구","2016-12-15 00:00:00.0"
"1588","FGN001","투수성포장","0","495","","8","","11470","양천구","2016-12-14 00:00:00.0"
"1587","FGN001","투수성포장","0","2847","","48","","11710","송파구","2016-09-21 00:00:00.0"
"1586","FGN001","투수성포장","0","613","","10","","11650","서초구","2016-12-15 00:00:00.0"
"1585","FGN001","투수성포장","0","647","","11","","11590","동작구","2016-10-31 00:00:00.0"
"1584","FGN001","투수성포장","0","2620","","45","","11320","도봉구","2016-11-11 00:00:00.0"
"1583","FGN001","투수성포장","0","830","","14","","11530","구로구","2016-12-31 00:00:00.0"
"1582","FGN003","침투트렌치","0","","213","10","","11500","강서구","2016-12-28 00:00:00.0"
"1581","FGN001","투수성포장","0","2122","","36","","11740","강동구","2016-12-20 00:00:00.0"
"1580","FGN001","투수성포장","0","5100","","87","","11680","강남구","2016-09-08 00:00:00.0"
"1579","FGN001","투수성포장","0","704","","12","","11200","성동구","2017-09-28 00:00:00.0"
"1578","FGN002","침투측구","0","","601","33","","11560","영등포구","2017-10-30 00:00:00.0"
"1577","FGN06","저류조","0","","","0","0","11470","양천구","2017-09-14 00:00:00.0"
"1576","FGN004","원형침투통","0","3","","0","","11350","노원구","2017-06-05 00:00:00.0"
"1575","FGN06","저류조","1","","","2","42","11470","양천구","2017-11-24 00:00:00.0"
"1574","FGN001","투수성포장","0","440","","7","","11290","성북구","2017-12-14 00:00:00.0"
"1573","FGN001","투수성포장","0","3400","","58","","11650","서초구","2017-10-17 00:00:00.0"
"1571","FGN001","투수성포장","1","438","","7","","11380","은평구","2014-12-31 00:00:00.0"
"1570","FGN003","침투트렌치","0","704","","32","","11440","마포구","2017-12-31 00:00:00.0"
"1569","FGN001","투수성포장","160","","","3","","11500","강서구","2017-12-31 00:00:00.0"
"1568","FGN001","투수성포장","0","1670","","28","","11710","송파구","2017-10-31 00:00:00.0"
"1567","FGN005","정방형침투통","66","","","11","","11290","성북구","2017-12-14 00:00:00.0"
"1566","FGN001","투수성포장","0","1130","","19","","11650","서초구","2017-07-19 00:00:00.0"
"1565","FGN001","투수성포장","0","986","","17","","11320","도봉구","2017-07-04 00:00:00.0"
"1564","FGN001","투수성포장","0","972","","17","","11320","도봉구","2017-07-04 00:00:00.0"
"1563","FGN005","정방형침투통","2","","","0","","11500","강서구","2017-12-31 00:00:00.0"
"1562","FGN005","정방형침투통","2","0","","0","","11500","강서구","2017-12-31 00:00:00.0"
"1561","FGN999","기타","0","0","19","1","","11500","강서구","2017-09-08 00:00:00.0"
"1560","FGN001","투수성포장","0","2300","0","39","0","11680","강남구","2017-06-20 00:00:00.0"
"1559","FGN06","저류조","0","0","0","5","98","11200","성동구","2017-12-22 00:00:00.0"
"1557","FGN003","침투트렌치","0","0","33","2","0","11215","광진구","2017-07-12 00:00:00.0"
"1556","FGN005","정방형침투통","3","0","0","1","0","11215","광진구","2017-12-14 00:00:00.0"
"1555","FGN003","침투트렌치","0","0","24","2","0","11215","광진구","2017-12-14 00:00:00.0"
"1554","FGN07","옥상녹화","0","51","0","1","0","11215","광진구","2017-11-16 00:00:00.0"
"1553","FGN005","정방형침투통","5","0","0","1","0","11215","광진구","2017-11-23 00:00:00.0"
"1552","FGN07","옥상녹화","0","149","0","1","0","11215","광진구","2017-11-20 00:00:00.0"
"1551","FGN07","옥상녹화","0","206","0","1","0","11215","광진구","2017-11-23 00:00:00.0"
"1550","FGN07","옥상녹화","0","217","0","1","0","11680","강남구","2017-11-20 00:00:00.0"
"1549","FGN07","옥상녹화","0","230","0","12","0","11560","영등포구","2017-10-24 00:00:00.0"
"1548","FGN005","정방형침투통","6","0","0","1","0","11590","동작구","2017-10-23 00:00:00.0"
"1547","FGN001","투수성포장","0","1300","320","22","0","11140","중구","2014-11-30 00:00:00.0"
"1546","FGN001","투수성포장","0","1640","400","28","0","11140","중구","2014-11-04 00:00:00.0"
"1545","FGN999","기타","0","50","0","1","0","11110","종로구","2014-12-31 00:00:00.0"
"1544","FGN001","투수성포장","0","215","0","4","0","11110","종로구","2015-07-09 00:00:00.0"
"1543","FGN001","투수성포장","0","2390","820","41","0","11110","종로구","2015-07-09 00:00:00.0"
"1541","FGN001","투수성포장","0","1000","400","17","0","11380","은평구","2014-06-30 00:00:00.0"
"1540","FGN001","투수성포장","0","3200","450","54","0","11560","영등포구","2014-06-13 00:00:00.0"
"1539","FGN001","투수성포장","0","1350","0","23","0","11710","송파구","2014-11-30 00:00:00.0"
"1538","FGN001","투수성포장","0","3200","600","54","0","11710","송파구","2015-03-17 00:00:00.0"
"1537","FGN001","투수성포장","0","252","0","4","0","11290","성북구","2014-12-24 00:00:00.0"
"1536","FGN003","침투트렌치","0","0","480","27","0","11650","서초구","2014-12-31 00:00:00.0"
"1535","FGN001","투수성포장","0","1500","500","26","0","11650","서초구","2014-12-31 00:00:00.0"
"1534","FGN001","투수성포장","0","807","0","14","0","11440","마포구","2014-12-31 00:00:00.0"
"1533","FGN001","투수성포장","0","1360","680","23","0","11320","도봉구","2014-12-18 00:00:00.0"
"1532","FGN001","투수성포장","0","1120","280","19","0","11350","노원구","2014-12-31 00:00:00.0"
